address,latitude,longitude
1523 FAIRBURN RD SW,33.71244,-84.5067
384 WOODWARD WAY NW,33.81596,-84.4035
WALKER TER NE / LAFAYETTE DR NE,33.78956,-84.37865
1231 GLENWOOD AVE SE,33.73984,-84.34733
1138 WOODLAND AVE NE,33.81486,-84.35042
203 HARWELL PL NW,33.78074,-84.49348
2125 SOUTHWOOD CV SW,33.69653,-84.51827
65 ROGERS ST NE,33.75483,-84.32775
3029 HUMPHRIES DR SE,33.67207,-84.37643
4268 WIEUCA OVERLOOK NE,33.87207,-84.37486
1415 PINEHURST,33.71692,-84.45194
2854 DELRAY DR NW,33.79689,-84.47702
907 MARTIN L KING JR DR NW,33.7548,-84.41692
881 MEMORIAL DRIVE ,33.74659,-84.35822
1420 DESOTO AVE SW,33.7161,-84.41163
2720 METROPOLITAN PKWY SW,33.68067,-84.4072
159 EUHRLEE ST SW,33.75036,-84.41634
339 CANDLERST NE,33.76362,-84.34581
1657 ALVARADO TER SW,33.73505,-84.44184
801 BOLTON RD NW,33.77725,-84.50109
1745 SANDTOWN RD SW,33.71785,-84.44552
721 MARTIN ST SE,33.73493,-84.38436
155 FORSYTH ST SW,33.75035,-84.3956
101 ANSLEY VILLA DR NE,33.80647,-84.37537
1074 PEACHTREE WALK NE,33.78436,-84.38639
3657 SATURN DR NW,33.77723,-84.50716
1225 CAROLINE ST NE ,33.75605,-84.34813
710 FOX ST NW,33.77183,-84.41036
1021 PEACHTREE STREET,33.78257,-84.38311
1339 PARK TRCE SE,33.71505,-84.36038
667 JOSEPH E BOONE BLVD NW,33.76366,-84.40941
936 ASTOR AVE SW;,33.70117,-84.41943
262 BUCKHEAD AVE NE,33.83874,-84.37877
19 VALLEY FORGE PL NW,33.82317,-84.44247
902 HALL ST SW,33.73045,-84.4254
138 SPRING ST NW,33.75839,-84.39068
320  FAIRBURN RD SW,33.75743,-84.50537
840 CENTER HILL AVE NW,33.77796,-84.46426
20 10TH ST NE,33.78153,-84.38781
1388 JOSEPH E BOONE BLVD NW,33.7633,-84.43337
951 SOCIETY CIR SW,33.74671,-84.50081
709 HAMILTON AVE SE,33.72552,-84.3647
1634 MCLENDON AVE NE,33.765,-84.33395
3260 MARTIN L KING JR DR SW,33.75294,-84.49424
619 FORTUNE PL NE,33.7622,-84.36742
627 WHITEHALL ST SW,33.74228,-84.40904
2657 FORREST AVE NW,33.81273,-84.47539
1449 MOZLEY PL SW,33.75138,-84.43487
377 10TH ST NE,33.78168,-84.37515
566 JETAL PL NW,33.7705,-84.4495
395 PIEDMONT AVE NE @Multiple,33.76501,-84.38137
1370 N HIGHLAND AVE NE,33.79227,-84.35346
1335 CHATTAHOOCHEE AVE NW,33.80296,-84.43161
1258 BOLTON RD NW,33.78951,-84.49376
1152 GREENWICH ST SW,33.74363,-84.42511
1981 COUNTY LINE RD SW,33.70119,-84.53673
55 MOURY AVE SE,33.71296,-84.38512
2275 1ST AVE NE,33.75474,-84.31306
3755 ATLANTA INDUSTRIAL PKWY,33.80368,-84.49475
330 PETERS ST SW,33.74554,-84.40384
301 ENGLEWOOD AVE SE,33.72192,-84.37798
1581 FAIRBURN RD SW,33.71036,-84.50809
1379 BOULEVARD SE,33.71669,-84.36881
1511 LANGSTON AVE SW,33.71355,-84.42441
GILMER ST SE / COURTLAND ST SE,33.75348,-84.38531
2571 PIEDMONT RD NE,33.82506,-84.36708
2198 VENETIAN DR SW,33.71497,-84.46027
962 DIVISION ST NW,33.76414,-84.41902
1979 SANDCREEK DR SW,33.70297,-84.54491
61 CARTER AVE,33.75,-84.30549
3638 CROFT PL NW,33.77509,-84.50654
450 MCAFEE ST NW,33.76582,-84.39468
3390 FAIRBURN RD SW,33.66087,-84.52334
375 WOODSTOCK DR SW,33.76058,-84.51537
525 NORTH AVE,33.7709,-84.36993
MARTIN L KING JR DR NW / MORRIS BROWN DR SW,33.75415,-84.42445
885 CENTER HILL AVE NW,33.77924,-84.46378
3390 OLD FAIRBURN RD SW,33.66257,-84.52847
524 WHITEHALL ST SW,33.74282,-84.40515
3207 KATOMARICK DR SE,33.66733,-84.36391
4506 PEACHTREE PARK DR NE,33.81383,-84.38965
692 ARGONNE AVE NE,33.77366,-84.37779
2930 FORREST HILL DR,33.67519,-84.3984
1048 TUMLIN ST NW,33.78335,-84.40073
1955 LA DAWN LANE NW,33.8181,-84.45198
55 MAPLE  ST NW ,33.75569,-84.40528
628 HEMLOCK CIR SE,33.73695,-84.35217
2733 DEARWOOD DR SW,33.68011,-84.40507
1254 AVON AVE SW,33.72191,-84.42903
1542 PONTIAC PL SE,33.71242,-84.35664
3733 BRITTANY WALK SW,33.68169,-84.50731
4499 ROSWELL RD NE,33.8778,-84.37938
2884 BENJAMIN E MAYS DR SW,33.7299,-84.48375
894 FRANK ST SW ,33.74712,-84.41794
2889 MACON DR SW,33.67613,-84.38908
912 MARTIN L KING JR DR NW,33.75427,-84.41723
633 GRESHAM AVE SE,33.73705,-84.34612
551 JOSEPH E BOONE BLVD NW,33.76369,-84.40552
3335 MARTIN L KING JR DR SW,33.75455,-84.49743
16 WILLIAM H BORDERS DR SE,33.75395,-84.37543
869 CUSTER AVE SE,33.71685,-84.36056
3399 PEACHTREE RD NE @MARRIOTT LENOX,33.84914,-84.36369
102 WAKEFIELD DR NE,33.80866,-84.38868
4000 CAMPBELLTON RD SW,33.69334,-84.51913
15 WALL ST SE,33.75369,-84.39043
605 BOULEVARD NE,33.77097,-84.3714
794 RALPH MCGILL BLVD NE,33.76743,-84.36176
386 CAIRO ST,33.76526,-84.41984
920 SELLS AVE,33.74532,-84.41819
570 GLENN ST SW,33.73809,-84.40656
868 YORK AVE SW,33.73679,-84.41619
55 TRINITY AVE SW,33.74746,-84.38937
1334 BOULEVARD SE,33.71874,-84.36841
123 ATLANTA AVE SE,33.73014,-84.38391
55 MAPLE ST NW,33.75569,-84.40528
330 WELLINGTON ST SW,33.74622,-84.43852
816 WESTMONT RD SW,33.73298,-84.43712
3431 LENOX RD NE,33.84837,-84.36034
2032 BOLTON DR NW,33.81385,-84.43825
900 PAOLI AVE SE,33.7296,-84.33108
3600 PINE FOREST DR SE,33.65631,-84.35375
2900 PHARR COURT SOUTH NW,33.83477,-84.38598
662 IRA ST SW,33.73677,-84.39985
646 LINDBERGH WAY NE,33.82072,-84.367
3045 DAWSON LN SW,33.67265,-84.51
1971 EAST AVE NW,33.78625,-84.45258
2964 PEACHTREE RD NW,33.83523,-84.38237
2260 CASCADE RD SW,33.72228,-84.46253
234 8TH ST NE,33.77961,-84.3794
